"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Гамбия;18.01.2021;3933;3697;128;23;5;1
Финляндия;17.04.2021;83633;46000;887;0;0;0
Судан;03.08.2020;11738;6137;752;0;0;0
Камерун;15.09.2020;20271;18837;415;43;0;0
Косово и Метохия;04.01.2021;51965;42637;1344;0;0;0
Гренада;21.07.2020;23;23;0;0;0;0
Колумбия;01.02.2021;2104506;1954674;54272;9622;16352;289
Киргизия;07.12.2020;75395;67400;1297;0;0;0
Парагвай;03.08.2020;5724;4249;55;80;283;3
Марокко;02.11.2020;225070;187101;3826;2526;2788;64
Багамские острова;14.06.2021;12199;11136;237;107;55;1
Сент-Люсия;28.02.2021;3390;3013;35;34;101;0
Коста-Рика;14.04.2021;225343;196060;3044;0;0;0
Нидерланды;12.07.2020;51237;193;6156;101;0;0
Россия;28.05.2021;4986458;4607276;118386;9126;9262;396
Гондурас;05.07.2020;23943;2490;639;1022;103;10
Нигерия;27.07.2020;41180;18203;860;648;829;2
Соломоновы острова;07.11.2020;13;4;0;0;0;0
США;23.01.2021;25138809;"";424362;174294;"";3556
Норвегия;03.12.2020;37371;17998;353;402;0;2
Кот-д’Ивуар;28.06.2021;48203;47784;313;11;11;1
Чад;03.03.2021;4056;3542;140;57;58;0
Уругвай;20.12.2020;13048;8327;119;491;325;5
Малайзия;19.05.2021;485496;436115;2040;6075;3516;46
Кувейт;11.03.2021;205893;190235;1148;1505;1080;4
Marshall Islands;30.05.2021;4;4;0;0;0;0
Папский Престол;25.12.2020;27;15;0;0;0;0
Исландия;31.01.2021;6002;5930;29;0;0;0
Эквадор;03.07.2020;60657;28391;4700;1189;359;61
Монголия;26.07.2020;288;218;0;0;0;0
Оман;29.05.2021;213784;197080;2303;0;0;0
Сейшельские острова;29.09.2020;141;140;0;0;0;0
Италия;20.10.2020;434449;255005;36705;10871;2046;89
Гана;19.03.2021;89008;84952;713;587;857;8
Кирибати;16.06.2021;2;0;0;0;0;0
ДР Конго;17.05.2021;30609;26603;776;47;0;0
Панама;07.11.2020;138506;116823;2781;746;833;11
Габон;12.04.2021;20971;17762;129;335;306;2
Буркина-Фасо;25.03.2021;12619;12294;145;23;25;0
Перу;06.05.2021;1824457;1773490;170905;5768;6618;705
Венесуэла;23.10.2020;88718;82899;764;302;615;5
Палау;27.11.2020;0;0;0;0;0;0
Турция;14.10.2020;340450;298368;9014;1671;1396;57
Шри-Ланка;21.01.2021;56076;47984;276;887;769;2
Индонезия;09.11.2020;440569;372266;14689;2853;3968;75
Швеция;11.12.2020;320098;0;7514;7370;0;160
Мальта;02.02.2021;18168;15233;270;141;132;1
Эстония;15.03.2021;86086;60007;728;1279;263;9
Кения;23.06.2021;180498;123363;3514;622;313;30
Испания;18.10.2020;936560;150376;33775;0;0;0
Барбадос;23.10.2020;226;207;7;2;0;0
Армения;31.05.2021;222670;213208;4438;34;227;6
Австрия;24.05.2021;641740;623668;10547;360;779;1
Коморские острова;18.10.2020;502;485;7;0;0;0
Судно "Diamond Princess";01.03.2021;712;699;13;0;0;0
Западный берег реки Иордан;27.01.2021;156996;146934;1808;603;655;5
Болгария;24.11.2020;129348;40102;3226;4382;1876;157
Япония;02.01.2021;242076;196264;3572;3071;2706;31
Судно "MS Zaandam";07.03.2021;9;7;2;0;0;0
Мали;06.08.2020;2552;1954;124;6;4;0
Мексика;07.07.2020;268008;209437;32014;6258;4611;895
Казахстан;14.09.2020;136513;107269;1999;129;0;0
Польша;09.12.2020;1088346;768241;21160;12166;29396;568
Хорватия;10.01.2021;219993;210126;4368;646;919;26
Алжир;21.08.2020;40667;28587;1418;409;306;7
Монако;30.07.2020;120;105;4;0;0;0
Сомали;15.03.2021;9328;4259;379;138;29;12
Бенин;02.06.2021;8082;7893;102;24;0;1
Канада;24.05.2021;1368739;1292891;25262;1716;5106;30
Камбоджа;21.10.2020;286;280;0;0;0;0
Гвинея-Бисау;13.07.2020;1842;773;26;0;0;0
Уганда;12.10.2020;9864;6109;94;63;0;1
Гватемала;28.05.2021;252929;231594;8094;1593;712;24
Тунис;10.03.2021;239368;205719;8292;755;543;24
Либерия;24.01.2021;1914;1714;84;0;0;0
Вануату;18.01.2021;1;1;0;0;0;0
Грузия;01.08.2020;1171;947;17;3;7;0
